impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-125225,A606619,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A606619,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Titan,Dog,4 YEARS 2 MONTHS,Male,Wolf Hybrid,Sable / White,02/01/2020 12:00:00 AM,Received on,12200 SE 192ND ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606619,Image Copyright HLP Inc. 2020,"Received on: 2020-02-01<p/> Found Near: 12200 SE 192ND ST, KENT WA 98031<p/> Description: Sable / White Male Wolf Hybrid Dog<p/> Age: 4 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125208,A603717,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A603717,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dakota,Dog,3 YEARS 1 MONTH,Spayed Female,German Shepherd / Alaskan Husky,Brown / Black,01/31/2020 12:00:00 AM,Received on,39600 AUBURN ENUMCLAW RD SE,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A603717,Image Copyright HLP Inc. 2020,"Received on: 2020-01-31<p/> Found Near: 39600 AUBURN ENUMCLAW RD SE, AUBURN WA 98092<p/> Description: Brown / Black Spayed Female German Shepherd / Alaskan Husky Dog<p/> Age: 3 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-125096,A606150,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2080420,LOST,Hazel,Dog,,Female,Australian Shepherd,Unknown,01/25/2020 12:00:00 AM,Date Lost,15108 SE 179TH APT 3D,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2080420,Image Copyright HLP Inc. 2020,,
K20-124861,A605162,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2075973,LOST,Lemon,Cat,,Male,Savannah,Unknown,01/10/2020 12:00:00 AM,Date Lost,,,,502,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2075973,Image Copyright HLP Inc. 2020,,
K20-125190,A606544,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A606544,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Willy,Cat,10 YEARS,Neutered Male,Domestic Longhair,Brn Tabby,01/30/2020 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A606544,Image Copyright HLP Inc. 2020,"Received on: 2020-01-30<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 10 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Willy and I am available for adoption.<p/><p/>I was brought in by my previous owner on January 30, 2020 because previous owner passed away. I lived in a home with 2 other cats, and a young child. My previous owner described me as friendly and outgoing. <p/><p/>I am a very affectionate cat with so much love to give.  I'm a shadow cat, meaning that I'm always trying to follow my humans around!  I have been inside and outside and I would love to live in a house with a yard that I can hang out in!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K20-124876,A605300,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2076454,In Public Home,,Dog,,Male,Alaskan Husky,White,01/14/2020 12:00:00 AM,Date Found,6850 NE BOTHELL WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2076454,Image Copyright HLP Inc. 2020,,
K18-114474,A577312,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Pepper,Cat,7 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black,12/21/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577312,Image Copyright HLP Inc. 2020,"Received on: 2018-12-21<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 7 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Pepper and I am available for adoption.<p/><p/>I was brought in by a good samaritan on December 21, 2018.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K20-124989,A605821,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Terrier / Mix,Tan,01/21/2020 12:00:00 AM,Received on,25800 LAKE FENWICK RD S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-01-21<p/> Found Near: 25800 LAKE FENWICK RD S, KENT WA 98032<p/> Description: Tan Female Terrier / Mix Dog<p/> Age: NO AGE<p/>",
K19-124530,A603943,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2069391,LOST,Princess,Cat,,Female,American Shorthair,Unknown,12/25/2019 12:00:00 AM,Date Lost,119 19TH AVE E APT 105,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2069391,Image Copyright HLP Inc. 2020,,
K20-124685,A604511,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2072787,LOST,Whisky,Cat,,Female,Domestic Shorthair,Unknown,12/31/2019 12:00:00 AM,Date Lost,NORTH 178TH STREET AND 1ST AVE.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2072787,Image Copyright HLP Inc. 2020,,
